alert_id,timestamp,route_id,trip_id,risk_level,risk_score,alert_title,summary,key_findings,evidence,affected_route,affected_trip,affected_segment,estimated_revenue_impact_inr,confidence,recommended_action,dominant_explanation_type,status,version
ALT-A2553AC949C3,2026-08-31T04:21:56.072352+00:00,1324,10006,MONITOR,0.3013,Operational Review Alert — Route 1324,Trip 10006 on Route 1324 triggered operational monitoring with composite risk score 0.30.,"['Expected Revenue: ₹1809.13 | Reported Revenue: ₹1625.00 (Deficit: ₹184.13, 10.2%)', 'Expected Passengers: 153 | Reported Passengers: 138 (Difference: 15, 10.0%)', 'Multi-factor Risk Score: 0.3013 (MONITOR)', 'Statistical Isolation Anomaly Score: 0.9825']","{'expected_passengers': 153.3, 'reported_passengers': 138.0, 'passenger_difference': 15.3, 'passenger_pct_difference': 9.98, 'expected_revenue_inr': 1809.13, 'reported_revenue_inr': 1625.0, 'revenue_difference_inr': 184.13, 'revenue_pct_difference': 10.18, 'anomaly_score': 0.9825, 'risk_score': 0.3013, 'localization_confidence': 0.0, 'localized_subpath': None, 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10006,,184.13,0.9825,Include Route 1324 Trip 10006 in automated telemetry monitoring queue for subsequent schedules.,COMPOSITE_ANOMALY,OPEN,1.0.0
ALT-C2FCE19DF6B1,2026-08-31T04:21:56.072412+00:00,1324,10007,MONITOR,0.4619,Localized Segment Discrepancy Alert — Route 1324,Graph analysis localized a concentrated revenue and passenger deficit along 21172 -> 22645_PF3 (Seq 1-41) with 74.3% spatial confidence (estimated impact: ₹312.13).,"['Expected Revenue: ₹1809.13 | Reported Revenue: ₹1497.00 (Deficit: ₹312.13, 17.3%)', 'Expected Passengers: 147 | Reported Passengers: 121 (Difference: 26, 17.7%)', 'Multi-factor Risk Score: 0.4619 (MONITOR)', 'Statistical Isolation Anomaly Score: 0.9794', 'Graph Discrepancy Localized Subpath: 21172 -> 22645_PF3 (Seq 1-41) (Confidence: 0.74)']","{'expected_passengers': 146.9, 'reported_passengers': 121.0, 'passenger_difference': 25.9, 'passenger_pct_difference': 17.66, 'expected_revenue_inr': 1809.13, 'reported_revenue_inr': 1497.0, 'revenue_difference_inr': 312.13, 'revenue_pct_difference': 17.25, 'anomaly_score': 0.9794, 'risk_score': 0.4619, 'localization_confidence': 0.7428, 'localized_subpath': '21172 -> 22645_PF3 (Seq 1-41)', 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10007,21172 -> 22645_PF3 (Seq 1-41),312.13,0.9794,Include Route 1324 Trip 10007 in automated telemetry monitoring queue for subsequent schedules.,SEGMENT_ANOMALY,OPEN,1.0.0
ALT-03676516F153,2026-08-31T04:21:56.072473+00:00,1324,10008,MONITOR,0.3424,Operational Review Alert — Route 1324,Trip 10008 on Route 1324 triggered operational monitoring with composite risk score 0.34.,"['Expected Revenue: ₹1809.13 | Reported Revenue: ₹1527.00 (Deficit: ₹282.13, 15.6%)', 'Expected Passengers: 145 | Reported Passengers: 122 (Difference: 23, 16.1%)', 'Multi-factor Risk Score: 0.3424 (MONITOR)', 'Statistical Isolation Anomaly Score: 0.9782']","{'expected_passengers': 145.5, 'reported_passengers': 122.0, 'passenger_difference': 23.5, 'passenger_pct_difference': 16.12, 'expected_revenue_inr': 1809.13, 'reported_revenue_inr': 1527.0, 'revenue_difference_inr': 282.13, 'revenue_pct_difference': 15.59, 'anomaly_score': 0.9782, 'risk_score': 0.3424, 'localization_confidence': 0.0, 'localized_subpath': None, 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10008,,282.13,0.9782,Include Route 1324 Trip 10008 in automated telemetry monitoring queue for subsequent schedules.,COMPOSITE_ANOMALY,OPEN,1.0.0
ALT-B14989382DE3,2026-08-31T04:21:56.072531+00:00,1324,10009,NORMAL,0.2822,Nominal Operating Status — Route 1324,Trip 10009 operates within nominal baseline parameters (risk score 0.28).,"['Expected Revenue: ₹1809.13 | Reported Revenue: ₹1703.00 (Deficit: ₹106.13, 5.9%)', 'Expected Passengers: 149 | Reported Passengers: 140 (Difference: 9, 5.9%)', 'Multi-factor Risk Score: 0.2822 (NORMAL)', 'Statistical Isolation Anomaly Score: 0.9830']","{'expected_passengers': 148.8, 'reported_passengers': 140.0, 'passenger_difference': 8.8, 'passenger_pct_difference': 5.93, 'expected_revenue_inr': 1809.13, 'reported_revenue_inr': 1703.0, 'revenue_difference_inr': 106.13, 'revenue_pct_difference': 5.87, 'anomaly_score': 0.983, 'risk_score': 0.2822, 'localization_confidence': 0.0, 'localized_subpath': None, 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10009,,106.13,0.983,No immediate operational audit required. Telemetry within nominal bounds.,NOMINAL,OPEN,1.0.0
ALT-44986AB467DB,2026-08-31T04:21:56.072593+00:00,998,1001,SUSPICIOUS,0.651,Localized Segment Discrepancy Alert — Route 998,Graph analysis localized a concentrated revenue and passenger deficit along 20940 -> 21173 (Seq 1-6) with 99.0% spatial confidence (estimated impact: ₹214.01).,"['Expected Revenue: ₹324.01 | Reported Revenue: ₹110.00 (Deficit: ₹214.01, 66.1%)', 'Expected Passengers: 35 | Reported Passengers: 17 (Difference: 18, 51.1%)', 'Multi-factor Risk Score: 0.6510 (SUSPICIOUS)', 'Statistical Isolation Anomaly Score: 0.9903', 'Graph Discrepancy Localized Subpath: 20940 -> 21173 (Seq 1-6) (Confidence: 0.99)']","{'expected_passengers': 34.8, 'reported_passengers': 17.0, 'passenger_difference': 17.8, 'passenger_pct_difference': 51.13, 'expected_revenue_inr': 324.01, 'reported_revenue_inr': 110.0, 'revenue_difference_inr': 214.01, 'revenue_pct_difference': 66.05, 'anomaly_score': 0.9903, 'risk_score': 0.651, 'localization_confidence': 0.99, 'localized_subpath': '20940 -> 21173 (Seq 1-6)', 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",998,1001,20940 -> 21173 (Seq 1-6),214.01,0.9903,Audit trip ticketing logs and conductor waypoint reconciliations for Trip 1001 on Route 998.,SEGMENT_ANOMALY,OPEN,1.0.0
ALT-E7CD47AC09CE,2026-08-31T04:21:56.072651+00:00,1324,10010,NORMAL,0.287,Nominal Operating Status — Route 1324,Trip 10010 operates within nominal baseline parameters (risk score 0.29).,"['Expected Revenue: ₹1809.13 | Reported Revenue: ₹1706.00 (Deficit: ₹103.13, 5.7%)', 'Expected Passengers: 145 | Reported Passengers: 136 (Difference: 9, 5.9%)', 'Multi-factor Risk Score: 0.2870 (NORMAL)', 'Statistical Isolation Anomaly Score: 0.9834']","{'expected_passengers': 144.6, 'reported_passengers': 136.0, 'passenger_difference': 8.6, 'passenger_pct_difference': 5.93, 'expected_revenue_inr': 1809.13, 'reported_revenue_inr': 1706.0, 'revenue_difference_inr': 103.13, 'revenue_pct_difference': 5.7, 'anomaly_score': 0.9834, 'risk_score': 0.287, 'localization_confidence': 0.0, 'localized_subpath': None, 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10010,,103.13,0.9834,No immediate operational audit required. Telemetry within nominal bounds.,NOMINAL,OPEN,1.0.0
ALT-9C331B160B41,2026-08-31T04:21:56.072710+00:00,1324,10011,MONITOR,0.5389,Localized Segment Discrepancy Alert — Route 1324,Graph analysis localized a concentrated revenue and passenger deficit along 21172 -> 22645_PF3 (Seq 1-41) with 79.3% spatial confidence (estimated impact: ₹555.13).,"['Expected Revenue: ₹1809.13 | Reported Revenue: ₹1254.00 (Deficit: ₹555.13, 30.7%)', 'Expected Passengers: 155 | Reported Passengers: 109 (Difference: 46, 29.7%)', 'Multi-factor Risk Score: 0.5389 (MONITOR)', 'Statistical Isolation Anomaly Score: 0.9863', 'Graph Discrepancy Localized Subpath: 21172 -> 22645_PF3 (Seq 1-41) (Confidence: 0.79)']","{'expected_passengers': 155.1, 'reported_passengers': 109.0, 'passenger_difference': 46.1, 'passenger_pct_difference': 29.74, 'expected_revenue_inr': 1809.13, 'reported_revenue_inr': 1254.0, 'revenue_difference_inr': 555.13, 'revenue_pct_difference': 30.68, 'anomaly_score': 0.9863, 'risk_score': 0.5389, 'localization_confidence': 0.7928, 'localized_subpath': '21172 -> 22645_PF3 (Seq 1-41)', 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10011,21172 -> 22645_PF3 (Seq 1-41),555.13,0.9863,Include Route 1324 Trip 10011 in automated telemetry monitoring queue for subsequent schedules.,SEGMENT_ANOMALY,OPEN,1.0.0
ALT-57190FC52B29,2026-08-31T04:21:56.072773+00:00,1324,10012,MONITOR,0.5021,Localized Segment Discrepancy Alert — Route 1324,Graph analysis localized a concentrated revenue and passenger deficit along 21172 -> 22645_PF3 (Seq 1-41) with 76.8% spatial confidence (estimated impact: ₹437.13).,"['Expected Revenue: ₹1809.13 | Reported Revenue: ₹1372.00 (Deficit: ₹437.13, 24.2%)', 'Expected Passengers: 150 | Reported Passengers: 114 (Difference: 36, 24.2%)', 'Multi-factor Risk Score: 0.5021 (MONITOR)', 'Statistical Isolation Anomaly Score: 0.9814', 'Graph Discrepancy Localized Subpath: 21172 -> 22645_PF3 (Seq 1-41) (Confidence: 0.77)']","{'expected_passengers': 150.3, 'reported_passengers': 114.0, 'passenger_difference': 36.3, 'passenger_pct_difference': 24.17, 'expected_revenue_inr': 1809.13, 'reported_revenue_inr': 1372.0, 'revenue_difference_inr': 437.13, 'revenue_pct_difference': 24.16, 'anomaly_score': 0.9814, 'risk_score': 0.5021, 'localization_confidence': 0.768, 'localized_subpath': '21172 -> 22645_PF3 (Seq 1-41)', 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10012,21172 -> 22645_PF3 (Seq 1-41),437.13,0.9814,Include Route 1324 Trip 10012 in automated telemetry monitoring queue for subsequent schedules.,SEGMENT_ANOMALY,OPEN,1.0.0
ALT-FCB81068CF40,2026-08-31T04:21:56.072833+00:00,1324,10013,MONITOR,0.5012,Localized Segment Discrepancy Alert — Route 1324,Graph analysis localized a concentrated revenue and passenger deficit along 21172 -> 22645_PF3 (Seq 1-41) with 78.6% spatial confidence (estimated impact: ₹433.13).,"['Expected Revenue: ₹1809.13 | Reported Revenue: ₹1376.00 (Deficit: ₹433.13, 23.9%)', 'Expected Passengers: 152 | Reported Passengers: 116 (Difference: 36, 23.7%)', 'Multi-factor Risk Score: 0.5012 (MONITOR)', 'Statistical Isolation Anomaly Score: 0.9810', 'Graph Discrepancy Localized Subpath: 21172 -> 22645_PF3 (Seq 1-41) (Confidence: 0.79)']","{'expected_passengers': 152.0, 'reported_passengers': 116.0, 'passenger_difference': 36.0, 'passenger_pct_difference': 23.69, 'expected_revenue_inr': 1809.13, 'reported_revenue_inr': 1376.0, 'revenue_difference_inr': 433.13, 'revenue_pct_difference': 23.94, 'anomaly_score': 0.981, 'risk_score': 0.5012, 'localization_confidence': 0.786, 'localized_subpath': '21172 -> 22645_PF3 (Seq 1-41)', 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10013,21172 -> 22645_PF3 (Seq 1-41),433.13,0.981,Include Route 1324 Trip 10013 in automated telemetry monitoring queue for subsequent schedules.,SEGMENT_ANOMALY,OPEN,1.0.0
ALT-7B4650AC22EB,2026-08-31T04:21:56.072893+00:00,1324,10014,MONITOR,0.5349,Localized Segment Discrepancy Alert — Route 1324,Graph analysis localized a concentrated revenue and passenger deficit along 21172 -> 22645_PF3 (Seq 1-41) with 79.6% spatial confidence (estimated impact: ₹520.13).,"['Expected Revenue: ₹1809.13 | Reported Revenue: ₹1289.00 (Deficit: ₹520.13, 28.8%)', 'Expected Passengers: 149 | Reported Passengers: 106 (Difference: 43, 29.0%)', 'Multi-factor Risk Score: 0.5349 (MONITOR)', 'Statistical Isolation Anomaly Score: 0.9825', 'Graph Discrepancy Localized Subpath: 21172 -> 22645_PF3 (Seq 1-41) (Confidence: 0.80)']","{'expected_passengers': 149.2, 'reported_passengers': 106.0, 'passenger_difference': 43.2, 'passenger_pct_difference': 28.97, 'expected_revenue_inr': 1809.13, 'reported_revenue_inr': 1289.0, 'revenue_difference_inr': 520.13, 'revenue_pct_difference': 28.75, 'anomaly_score': 0.9825, 'risk_score': 0.5349, 'localization_confidence': 0.7956, 'localized_subpath': '21172 -> 22645_PF3 (Seq 1-41)', 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10014,21172 -> 22645_PF3 (Seq 1-41),520.13,0.9825,Include Route 1324 Trip 10014 in automated telemetry monitoring queue for subsequent schedules.,SEGMENT_ANOMALY,OPEN,1.0.0
ALT-928C6F57FFF9,2026-08-31T04:21:56.072953+00:00,1324,10015,MONITOR,0.5066,Localized Segment Discrepancy Alert — Route 1324,Graph analysis localized a concentrated revenue and passenger deficit along 21172 -> 22645_PF3 (Seq 1-41) with 74.7% spatial confidence (estimated impact: ₹453.13).,"['Expected Revenue: ₹1809.13 | Reported Revenue: ₹1356.00 (Deficit: ₹453.13, 25.0%)', 'Expected Passengers: 149 | Reported Passengers: 111 (Difference: 38, 25.3%)', 'Multi-factor Risk Score: 0.5066 (MONITOR)', 'Statistical Isolation Anomaly Score: 0.9822', 'Graph Discrepancy Localized Subpath: 21172 -> 22645_PF3 (Seq 1-41) (Confidence: 0.75)']","{'expected_passengers': 148.7, 'reported_passengers': 111.0, 'passenger_difference': 37.7, 'passenger_pct_difference': 25.34, 'expected_revenue_inr': 1809.13, 'reported_revenue_inr': 1356.0, 'revenue_difference_inr': 453.13, 'revenue_pct_difference': 25.05, 'anomaly_score': 0.9822, 'risk_score': 0.5066, 'localization_confidence': 0.7471, 'localized_subpath': '21172 -> 22645_PF3 (Seq 1-41)', 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10015,21172 -> 22645_PF3 (Seq 1-41),453.13,0.9822,Include Route 1324 Trip 10015 in automated telemetry monitoring queue for subsequent schedules.,SEGMENT_ANOMALY,OPEN,1.0.0
ALT-EC6A27B51CD1,2026-08-31T04:21:56.073013+00:00,1324,10016,MONITOR,0.5426,Localized Segment Discrepancy Alert — Route 1324,Graph analysis localized a concentrated revenue and passenger deficit along 21172 -> 22645_PF3 (Seq 1-41) with 78.3% spatial confidence (estimated impact: ₹543.13).,"['Expected Revenue: ₹1809.13 | Reported Revenue: ₹1266.00 (Deficit: ₹543.13, 30.0%)', 'Expected Passengers: 148 | Reported Passengers: 103 (Difference: 45, 30.5%)', 'Multi-factor Risk Score: 0.5426 (MONITOR)', 'Statistical Isolation Anomaly Score: 0.9854', 'Graph Discrepancy Localized Subpath: 21172 -> 22645_PF3 (Seq 1-41) (Confidence: 0.78)']","{'expected_passengers': 148.1, 'reported_passengers': 103.0, 'passenger_difference': 45.1, 'passenger_pct_difference': 30.47, 'expected_revenue_inr': 1809.13, 'reported_revenue_inr': 1266.0, 'revenue_difference_inr': 543.13, 'revenue_pct_difference': 30.02, 'anomaly_score': 0.9854, 'risk_score': 0.5426, 'localization_confidence': 0.7832, 'localized_subpath': '21172 -> 22645_PF3 (Seq 1-41)', 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10016,21172 -> 22645_PF3 (Seq 1-41),543.13,0.9854,Include Route 1324 Trip 10016 in automated telemetry monitoring queue for subsequent schedules.,SEGMENT_ANOMALY,OPEN,1.0.0
